GENERATION_PROJECT,fuel
Oahu_Airport_DSG,Biodiesel
Oahu_Airport_DSG,Diesel
Oahu_Airport_DSG,LNG
Oahu_CC_152,Biodiesel
Oahu_CC_152,Diesel
Oahu_CC_152,LNG
Oahu_CC_152,LSFO
Oahu_CIP_CT,Biodiesel
Oahu_CIP_CT,Diesel
Oahu_CIP_CT,LNG
Oahu_IC_Barge,Biodiesel
Oahu_IC_Barge,Diesel
Oahu_IC_Barge,LNG
Oahu_IC_Barge,LSFO
Oahu_IC_MCBH,Biodiesel
Oahu_IC_MCBH,Diesel
Oahu_IC_MCBH,LNG
Oahu_IC_MCBH,LSFO
Oahu_IC_Schofield,Biodiesel
Oahu_IC_Schofield,Diesel
Oahu_IC_Schofield,LNG
Oahu_IC_Schofield,LSFO
Oahu_Kahe_5,Biodiesel
Oahu_Kahe_5,Diesel
Oahu_Kahe_5,LNG
Oahu_Kahe_5,LSFO
Oahu_Kahe_6,Biodiesel
Oahu_Kahe_6,Diesel
Oahu_Kahe_6,LNG
Oahu_Kahe_6,LSFO
Oahu_Kalaeloa_CC1,Biodiesel
Oahu_Kalaeloa_CC1,Diesel
Oahu_Kalaeloa_CC1,LNG
Oahu_Kalaeloa_CC1,LSFO
Oahu_Kalaeloa_CC2,Biodiesel
Oahu_Kalaeloa_CC2,Diesel
Oahu_Kalaeloa_CC2,LNG
Oahu_Kalaeloa_CC2,LSFO
Oahu_Kalaeloa_CC3,Biodiesel
Oahu_Kalaeloa_CC3,Diesel
Oahu_Kalaeloa_CC3,LNG
Oahu_Kalaeloa_CC3,LSFO
Oahu_Waiau_10,Biodiesel
Oahu_Waiau_10,Diesel
Oahu_Waiau_10,LNG
Oahu_Waiau_9,Biodiesel
Oahu_Waiau_9,Diesel
Oahu_Waiau_9,LNG
