PERIOD,SystemCostPerPeriod_NPV,SystemCostPerPeriod_Real,EnergyCostReal_per_MWh,SystemDemand_MWh
2020,1173854564.3952374,1209070201.327095,151.59952702957787,7975421.988560683
2021,1100053978.2370524,1167047265.5116897,147.17160451376157,7929839.926441534
2022,1004511328.1607355,1097656650.0870965,139.76729544640668,7853458.468816043
2023,978383078.9866521,1101178774.9544034,141.30654778379093,7792836.158160804
2024,963386035.499474,1116828454.4972005,143.93108282905533,7759466.77079919
2025,940237105.3899752,1122692274.9726799,146.0621378611575,7686401.769908906
2026,922796826.8649831,1134923700.4582422,148.59589338960467,7637651.852750583
2027,904007657.7341189,1145169854.1628788,150.96018389499062,7585906.592161216
2028,883345955.9349524,1152566115.3479362,152.63064432192698,7551341.478431787
2029,856858105.6353829,1151545642.9371676,154.47408163799466,7454620.417396492
2030,837252441.9343247,1158953188.4722452,156.8001764706014,7391274.771234319
2031,813162339.5830623,1159375058.4338617,157.15868229857628,7377098.3662947435
2032,798071958.504572,1171995576.824283,157.527032209952,7439964.813545444
2033,777985679.1675172,1176773144.3932128,157.7732742392767,7458634.23363158
2034,759997732.6107277,1184051704.097975,157.8291082440127,7502112.362361982
2035,741922801.9779196,1190568297.648183,157.7793586951486,7545779.799679149
2036,717170509.3912904,1185373578.382521,155.68071244449118,7614132.539412501
2037,698595718.0939373,1189312446.9237516,155.6769974688919,7639615.783066508
2038,684084671.9426484,1199546613.068698,155.94400027481848,7692162.641427368
2039,671963019.0503727,1213639957.9892566,156.7985360834715,7740123.0158371935
2040,660993258.6891546,1229642171.0760062,157.5047502093708,7807016.419767943
2041,628590591.3280065,1204444574.8214085,153.87224719668936,7827562.128743141
2042,605238651.2229928,1194490838.0661592,151.68372797523165,7874877.905566818
2043,600626514.9180299,1220950039.7092237,154.2069477695067,7917607.198439458
2044,600769462.9963541,1257877842.431982,157.62600211902674,7980141.76291886
2045,571153076.123564,1231743736.3988824,154.0149353724412,7997560.323745626
